nodeid,shapeid,x,y
399,10,-84.2168684,30.3950722
400,10,-84.2169037,30.3950739
401,10,-84.2169501,30.3950737
402,10,-84.2170736,30.3950712
403,10,-84.2172327,30.3950591
404,10,-84.2173908,30.3950341
405,10,-84.2175584,30.3950017
406,10,-84.2176845,30.3949606
407,10,-84.2178773,30.3948886
408,10,-84.2181072,30.3947741
409,10,-84.2183291,30.3946241
410,10,-84.2187024,30.3943071
411,10,-84.2190704,30.394001
412,10,-84.2191419,30.3939174
413,10,-84.219264,30.3937888
414,10,-84.2194195,30.3935932
415,10,-84.2194241,30.3935874
416,10,-84.2195031,30.3934664
417,10,-84.2195849,30.3933161
418,10,-84.219693,30.3930793
419,10,-84.2197262,30.3929632
420,10,-84.2197366,30.392886
421,10,-84.2197664,30.3927447
422,10,-84.2197838,30.3925695
423,10,-84.2197983,30.3922422
424,10,-84.2198805,30.3910693
425,10,-84.2198967,30.39075
426,10,-84.2199191,30.3905296
427,10,-84.2199383,30.3902829
428,10,-84.2199594,30.3901665
429,10,-84.2199968,30.3900583
430,10,-84.2200413,30.3899598
431,10,-84.2201096,30.3898549
432,10,-84.2201732,30.38978
433,10,-84.2202354,30.3897151
434,10,-84.2203115,30.3896515
435,10,-84.2203929,30.3895919
436,10,-84.2205157,30.3895216
437,10,-84.2206199,30.3894779
438,10,-84.2206998,30.3894505
439,10,-84.2207998,30.3894238
440,10,-84.2209652,30.3894005
441,10,-84.2212834,30.3894057
442,10,-84.2215585,30.3894178
443,10,-84.2223759,30.3894609
444,10,-84.222556,30.3894706
445,10,-84.2230173,30.3894932
446,10,-84.2230962,30.3894961
447,10,-84.2231875,30.3894905
448,10,-84.2232531,30.3894804
449,10,-84.223319,30.3894703
450,10,-84.2234675,30.3894324
451,10,-84.2236308,30.3893612
452,10,-84.2237493,30.3892864
453,10,-84.2238774,30.3891845
454,10,-84.2239661,30.3890832
455,10,-84.2240195,30.3890101
456,10,-84.2240673,30.3889292
457,10,-84.224147,30.388711
458,10,-84.2241533,30.3886094
459,10,-84.2241529,30.3885346
460,10,-84.224149,30.3884619
461,10,-84.2241273,30.3883552
462,10,-84.2240719,30.3882039
463,10,-84.224022,30.388112
464,10,-84.223938,30.387992
465,10,-84.223886,30.387938
466,10,-84.223792,30.387857
467,10,-84.223711,30.387801
468,10,-84.223659,30.387772
469,10,-84.223604,30.387747
470,10,-84.223461,30.3876963
471,10,-84.2233152,30.387656
472,10,-84.2232044,30.3876437
473,10,-84.2226778,30.3876139
474,10,-84.2224004,30.3875993
475,10,-84.2221676,30.3875813
476,10,-84.2220475,30.3875568
477,10,-84.2219307,30.3875236
478,10,-84.2217703,30.3874643
479,10,-84.2216462,30.3874014
480,10,-84.2214777,30.3872911
481,10,-84.2213654,30.3871906
482,10,-84.2212652,30.3870743
483,10,-84.2211925,30.3869703
484,10,-84.2211374,30.3868794
485,10,-84.2210962,30.386779
486,10,-84.2209412,30.3864321
487,10,-84.2208773,30.3863326
488,10,-84.220805,30.3862441
489,10,-84.2207494,30.3861833
490,11,-84.223148,30.3976028
491,11,-84.2229909,30.3975375
492,11,-84.2229283,30.3975019
493,11,-84.222821,30.397441
494,11,-84.2227911,30.3974219
495,11,-84.2227145,30.3973718
496,11,-84.222558,30.3972701
497,11,-84.222504,30.397235
498,11,-84.2224415,30.3971879
499,11,-84.2223373,30.3971094
500,11,-84.222147,30.396966
501,11,-84.2221394,30.3969588
502,11,-84.22213,30.3969501
503,11,-84.222098,30.39692
504,11,-84.222036,30.3968604
505,11,-84.2219625,30.3967897
506,11,-84.221756,30.396591
507,11,-84.2217499,30.3965839
508,11,-84.2215848,30.3963909
509,11,-84.2215162,30.3963036
510,11,-84.2214729,30.3962412
511,11,-84.2213006,30.3959927
512,11,-84.2212603,30.3959347
513,11,-84.2212543,30.395926
514,11,-84.221067,30.395656
515,11,-84.2209597,30.395513
516,11,-84.2208831,30.3954107
517,11,-84.220872,30.395396
518,11,-84.2207199,30.3952459
519,11,-84.2207124,30.3952385
520,11,-84.2206699,30.3951967
521,11,-84.220506,30.395035
522,11,-84.220482,30.395015
523,11,-84.220393,30.3949509
524,11,-84.2200667,30.3947159
525,11,-84.2198829,30.3945836
526,11,-84.2198067,30.3945285
527,11,-84.21974,30.3944802
528,11,-84.2197069,30.3944563
529,11,-84.2194283,30.3942547
530,11,-84.2193838,30.3942225
531,11,-84.2191262,30.3940361
532,11,-84.2190704,30.394001
533,12,-84.2379759,30.3925027
